Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage,Node size
DriveWealth,drivewealth.com,"DriveWealth is a global brokerage infrastructure, offering investment capabilities, such as real-time fractional trading, and the ability for investors from around the globe to access the U.S. equities market easily and digitally. DriveWealth’s suite of APIs enables global partners (neobanks, digital advisors, online brokers and mobile online financial services companies) to access the U.S. securities market, making it possible for these companies to build any investment experience they design.",United States,Product As A Service,5. Wealth Management,2012,Emerging,"87,710,000",Series C,100
Pleo,pleo.io,"Pleo offers smart payment cards for employees enabling them to buy the things they need for work, all while keeping the companies in control of spending. The company pairs the cards with software/mobile apps to automatically match receipts and track all spending company-wide in real-time, with analytics and accounting software integrations to boot.",Denmark,Product As A Service,4. Cards,2015,Emerging,"78,800,000",Series B,100
Deposit Solutions,deposit-solutions.com,"Deposit Solutions provides an open banking platform for deposits connecting banks and depositors. The platform allows banks to offer attractive third party deposit products to their own customers through their existing accounts. As a result, banks looking for funding can gather deposits from new markets and client groups without having to set up and operate their own retail infrastructure, and depositors can access best-in-class deposit offers without having to open a new account at another bank.",Germany,Product As A Service,5. Wealth Management,2011,Mature,"198,900,000",Series B,100
Petal,petalcard.com,Petal provides credit cards to young people and others who lack a credit history. Petal's cards link to a mobile app which enables users to track what they spend and what they can afford.,United States,Data Aggregators,10. Open Banking,2016,Emerging,"437,350,000",Series C,150
defi SOLUTIONS,https://defisolutions.com/,"defi SOLUTIONS provides a solution that fuels auto lenders with the ability to grow and compete efficiently. Using defi's technology, lenders can increase applications and fundings. The company's browser-based Loan Origination System (LOS) is completely configurable and easy to implement. The defi system provides the flexibility needed to manage the application lifecycle from a single, SaaS platform. The defi LOS is affordable, scalable and easily accessible from mobile devices.",United States,Product As A Service,1. Lending,2012,Mature,"55,530,000",Series C,100
AiDEXA,aidexa.it,"Aidexa is a fintech company offering an AI-powered and data-driven challenger bank. The company aims to make life easier for those who do business, taking advantage of technologies and opportunities offered by open banking.",Italy,Data Aggregators,10. Open Banking,2020,Nascent,"53,150,000",Seed,100
ComplyAdvantage,complyadvantage.com,"ComplyAdvantage helps firms make intelligent choices when complying with regulations relating to sanctions, money laundering (AML), terrorist financing (CFT), bribery, and corruption. Its database of individuals, organizations, and associated entities provides real-time insight into financial crime risks. ComplyAdvantage uses artificial intelligence, machine learning, and big data analytics combined with a tailored risk-based approach to help firms not only to manage their compliance and risk obligations but to prevent the occurrence of financial crime.",United Kingdom,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2014,Mature,"88,200,000",Series C,100
Nova Credit,novacredit.com,Nova Credit provides lenders with international consumer credit data so that they can underwrite immigrants. Nova Credit is a cross-border credit reporting agency focused on ways lenders provide loans to immigrants by enabling them to access and use overseas data through the Nova Credit Passport.,United States,Product As A Service,1. Lending,2016,Nascent,"68,370,000",Series B,100
Starling Bank BaaS,starlingbank.com,"Starling is a United Kingdom-based, mobile-only bank offering personal, joint, and business accounts. Starling Bank lets people visualize and manage their finances in real-time, all from one app.",United Kingdom,General BaaS Platforms,9. Developer Platforms,2014,Emerging,"459,690,000",Series E,150
Trulioo,trulioo.com,"Trulioo provides secure access to reliable, independent and trusted data sources worldwide to verify consumers and business entities online. Trulioo's marketplace of global identity data and services, GlobalGateway, helps organizations comply with Anti-Money Laundering (AML) and Customer Due Diligence (CDD) requirements by automating Know Your Customer (KYC) and Know Your Business (KYB) workflows.",Canada,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2011,Mature,"75,740,000",Series C,100
Extend,extend.com,"Extend provides an easy way for any merchant to offer extended warranties - generating revenue, increasing purchase conversion, and dramatically improving the customer experience.",United States,Product As A Service,6. Insurance,2017,Nascent,"57,100,000",Series B,100
Alloy,alloy.co,Alloy is a service for reducing false positives during the KYC process. Alloy's API and dashboard helps financial institutions integrate multiple sources of data and custom CIP rules to both increase the number of customers that can be successfully onboarded without manual review and improve transparency and efficiency into the process.,United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2015,Nascent,"55,920,000",Series B,100
Anchorage,https://anchorage.com/,"Anchorage is a digital asset custodian engineered to provide security and the benefits of asset accessibility, including capturing yield from staking and inflation, voting, auditing proof of existence, and fast transactions.",United States,Transaction Infrastructure,12. Crypto-as-a-service,2017,Nascent,"57,000,000",Series B,100
Blockchain,https://www.blockchain.com/,"Blockchain is a software platform for digital assets and a bitcoin wallet provider, where users can authenticate and transact immediately and without intermediaries.",United Kingdom,Transaction Infrastructure,12. Crypto-as-a-service,2011,Nascent,"70,500,000",Series B,100
Upgrade,upgrade.com,"Upgrade is an online lending platform that combines personal loans with free credit monitoring, helping users secure more affordable credit in the long run.",United States,Product As A Service,1. Lending,2016,Mature,"177,500,000",Series D,100
CurrencyCloud,currencycloud.com,"Currencycloud is a cloud-based solution for international payments. The company has packaged its global payments infrastructure - finding exchange rates, transferring funds between two end points and meeting local compliance at both ends - by way of flexible, developer-friendly APIs. Its APIs are used by digital and payment companies to build products that allow businesses to pay money to each other around the world; or to enable payouts to individuals.",United Kingdom,Product As A Service,3. Payments Processing,2012,Mature,"153,970,000",Series E,100
Modern Treasury,moderntreasury.com,"Modern Treasury offers a way for businesses to swap out the homegrown infrastructure and excel spreadsheets they were using to manage payments. Businesses use Modern Treasury software to initiate, monitor, and reconcile payments.",United States,Product As A Service,7. Other (eg. treasury),2018,Nascent,"48,120,000",Series B,100
Railsbank,railsbank.com,Railsbank is a banking and compliance platform that connects together a global network of partner banks with companies who want API access to banking.,United Kingdom,General BaaS Platforms,9. Developer Platforms,2015,Emerging,"48,340,000",Series B,100
CashFree,cashfree.com,"CashFree enables users to pay through mobile wallet, in cash or online for the products or services delivered at their doorstep.",India,Product As A Service,2. Payments Initiation,2015,Emerging,"40,920,000",Series B,100
Brightside Benefit,https://www.gobrightside.com/,"Brightside is a holistic solution for the financial care of employees.  By combining expertise from a dedicated Financial Assistant, smart technology, and financial products, the firm's software platform engages employees, builds trust, and reduces financial stress to boost productivity and retention.",United States,Product As A Service,7. Other (eg. treasury),2017,Nascent,"39,230,000",Series A,100
Socure,socure.com,"Socure specializes in creating high-assurance, digital identity verification technology. The company's predictive analytics platform applies artificial intelligence and machine-learning techniques with online/offline data intelligence from email, phone, address, IP, social media, and the broader Internet to authenticate identities in real-time.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2012,Mature,"98,250,000",Series D,100
Vidado,vidado.ai,"Vidado offers an AI platform that identifies, digitizes, validates, and enriches data more efficiently than traditional OCR technologies or humans, unlocking new ways to operationalize how an organization processes traditional, paper-driven workflows. The result is that customers achieve extraordinary success: improved straight-through processing, larger datasets for analytics, reduced operational costs, and improvements in robotic process automation.On March 24th, 2020, Vidado was acquired by SS&C Technologies. Terms of the transaction were not disclosed.",United States,Product As A Service,6. Insurance,2011,Emerging,"49,020,000",Series C,100
Flutterwave,https://flutterwave.com/gb/,"Flutterwave is a global payments technology company building digital payments infrastructure, with a focus on the African market. The company enables digital transactions across Africa, between Africa and other regions.",United States,Product As A Service,3. Payments Processing,2016,Nascent,"54,290,000",Series B,100
Synapse,synapsefi.com,"Synapse develops a platform that helps banks and developers work together. The technology involves developer-facing APIs that allow companies to connect with banks to offer services, and also bank-facing APIs that allow banks to automate and extend back-end operations.",United States,General BaaS Platforms,9. Developer Platforms,2014,Nascent,"50,000,000",Series B,100
Bond Financial Technologies,bond.tech,"Bond Financial Technologies offers an ecosystem of banks, fintechs, and brand partners around its API platform. It aims to provide software that lets partner brands to offer products such as credit cards and debit cards and aims to have its software integrate with a network of banks that can handle regulatory obligations on behalf of its customers. The company was founded by Roy Ng, the former COO of Twilio, the cloud messaging firm.",United States,General BaaS Platforms,9. Developer Platforms,2019,Nascent,"42,000,000",Series A,100
Finix,https://www.finixpayments.com/,"Finix Payments is a payment facilitator for merchants, banks, and other payment institutions. Offers white label payment gateway APIs, modular dashboards for back-end analytics, push payouts using Visa Direct and MasterCard Send. It also offers merchant KYC and underwriting for payment & financial institutions and tokenization for data security.",United States,Product As A Service,3. Payments Processing,2015,Nascent,"96,000,000",Series B,100
Open,bankopen.co,"Open provides banking services to startups and entrepreneurs. The platform allows users to have regular bank account features, such as payments, balance and transaction list. Additionally, the platform integrates with other business systems to provide everything in one single place. It is commonly referred to as a neo bank.",India,General BaaS Platforms,9. Developer Platforms,2018,Nascent,"37,400,000",Series B,100
Ramp Financial,ramp.com,Ramp offers a credit card for businesses. Ramp also indexes current market prices for popular business tools and notifies the companies if they are overpaying.,United States,Product As A Service,4. Cards,2019,Nascent,"62,000,000",Series A,100
Silverfin,silverfin.com,"Silverfin offers a connected accounting platform to help businesses stay on top of their financial data. Silverfin's platform plugs into popular accounting software and other financial data sources to help finance departments, accountancy firms and consultants, such as external tax specialists, get much better real-time visibility of a company's financial data.",Belgium,Data Aggregators,11. Other Financial Data,2013,Emerging,"34,500,000",Series B,100
Fast,fast.co,"Provider of automatic data filling checkout solution for businesses. The solution helps the customer to autofill the details in the checkout processes including name, address, phone number, etc. It also provides a dashboard to manage all the purchases, track the shipment, handle returns, and more.",United States,Product As A Service,2. Payments Initiation,2019,Emerging,"32,500,000",Series A,100
Payrix,payrix.com,"Payrix is a full-service payment facilitator platform that provides end-to-end solutions to simplify payment facilitation for marketplaces, ISOs, and SaaS providers.",United States,General BaaS Platforms,9. Developer Platforms,2015,Nascent,"50,000,000",Series A,100
Moov,moov.io,"Moov is a portable, extensible, open-source platform for embedding banking services within any application.",United States,General BaaS Platforms,9. Developer Platforms,2020,Nascent,"32,500,000",Series A,100
Five Degrees,fivedegrees.com,"Five Degrees is a digital banking technology provider with offices in the Netherlands, Iceland, Luxembourg, Portugal and Serbia. As its core business, Five Degrees provides a digital banking platform, offering banks and other financial institutions customer-centric banking systems.",Netherlands,Product As A Service,7. Other (eg. treasury),2010,Emerging,"37,520,000",Series C,100
YouTrip,you.co,YouTrip is a mobile financial platform that offers a multi-currency mobile wallet with a contactless Mastercard to make payments worldwide without having to incur any fees.,Singapore,Product As A Service,4. Cards,2018,Nascent,"25,500,000",Seed,100
Tractable,https://tractable.ai/,"Tractable develops AI for accident and disaster recovery. Its AI solutions use photos to automate damage appraisal, allowing insurers to improve accuracy, reduce turnaround time, and deliver a revamped customer claims experience. Tractable has processed hundreds of thousands of auto insurance claims, positively impacting people’s lives across Europe, North America and Asia.",United Kingdom,Product As A Service,6. Insurance,2014,Mature,"59,830,000",Series C,100
TrueLayer,truelayer.com,"TrueLayer offers developers an easy way to access the bank data they need to build financial apps and services, helping startups and banks alike to drive products in financial services. TrueLayer supports account verification, KYC processes, and transactional data for account aggregation, credit scoring and risk assessment.",United Kingdom,Data Aggregators,10. Open Banking,2016,Mature,"71,800,000",Series C,100
Moven,moven.com,"Moven, formerly Movenbank, is a mobile money service that helps users spend, save, and live smarter. Users can load, transfer, spend, and track money using mobile devices. The company's tools provide users with instant feedback on transactions and spending patterns.",United States,Data Aggregators,10. Open Banking,2010,Emerging,"47,410,000",Series B,100
The Credit Junction,thecreditjunction.com,"The Credit Junction is a technology-enabled, online marketplace lending platform focused on providing working capital and supply chain financing solutions to industrial and manufacturing small and mid-size enterprises.",United States,Product As A Service,1. Lending,2013,Emerging,"229,560,000",Series D,150
Wagestream,wagestream.co.uk,"Wagestream is an employee financial wellness platform that allows workers to access earned income at any time during the monthly pay cycle without impacting cash-flow, payroll or timekeeping processes.",United Kingdom,Product As A Service,5. Wealth Management,2018,Nascent,"79,510,000",Series B,100
SEBA Bank,seba.swiss,"SEBA Bank offers cryptocurrency services to companies and investors while extending traditional banking services to firms. The company also aims to provide corporate financing, including advising on initial coin offerings, and other cryptocurrency and banking services to traditional corporate clients and cryptocurrency groups.",Switzerland,Transaction Infrastructure,12. Crypto-as-a-service,2018,Emerging,"126,480,000",Series B,100
Coinbase,coinbase.com,"Coinbase is a bitcoin wallet and platform where merchants and consumers can transact with digital currencies like bitcoion, ethereum, and litecoin.",United States,Transaction Infrastructure,12. Crypto-as-a-service,2012,Emerging,"538,670,000",Series E,150
BeeTech,beetech.global,"BeeTech is an infrastructure provider of solutions for the cross border market. The Open Payments API allows international companies  to access the Brazilian market and expand their offers. National companies that do not possess a core business for cross border payments, but depend on it to perform in their field, can plug into the FX-as-a-service API in order to optimize their business and bring a more friction less experience for their customers. Remessa Online is a BeeTech product for the final users, both individuals or companies, that need to do cross border payments and remittances.",Brazil,General BaaS Platforms,9. Developer Platforms,2016,Emerging,"26,190,000",Series A,100
Stash,stashinvest.com,"Stash is a mobile app offering users a way to invest based on goals, interests and beliefs. Stash helps people start investing with small sums, gain investing confidence gradually, and build smart financial habits for the long-term.",United States,Product As A Service,5. Wealth Management,2015,Mature,"314,250,000",Series F,150
AccessFintech,accessfintech.com,"AccessFintech is a risk management service for banks and buyside firms. The service helps firms track the trade lifecycle and get a sense of prioritized risk, across an increasing number of systems. AccessFintech brings together fintech providers and in-house technology, orchestrating the interaction of the distributed providers and creating a single visual display of the risk of financial transactions in a global shareable view.",United States,Data Aggregators,11. Other Financial Data,2016,Nascent,"37,500,000",Series B,100
Argyle Systems,argyle.io,Argyle provides a single API that allows businesses to access data pulled from users in the gig economy.,United States,Data Aggregators,11. Other Financial Data,2018,Nascent,"22,640,000",Series A,100
BioCatch,biocatch.com,"BioCatch provides behavioral authentication and threat detection solutions for mobile and web applications. Available as a cloud-based solution, BioCatch proactively collects and analyzes bio-behavioral, cognitive and physiological parameters to generate a unique user profile. Banks, eCommerce websites, and mobile apps use BioCatch to significantly reduce friction associated with risky transactions and protect users against cyber threats, such as Account Takeovers, Man-in-the-Browser (MitB) Malware, and Remote Access (RAT) attacks.",Israel,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2010,Mature,"211,610,000",Series C,100
Bud Financial,thisisbud.com,Bud is a UK technology platform which aggregates financial services and products into a single marketplace. Bud is a provider of API that power developer of financial services applications and help them connect with user bank accounts.,United Kingdom,Data Aggregators,10. Open Banking,2015,Nascent,"22,180,000",Series A,100
Mercury,mercury.co,"Mercury provides bank accounts built specifically for startups by combining Federal Deposit Insurance Corp (FDIC)-insured checking and savings accounts with tech tools like cashflow analytics, intuitive dashboards, and efficient payments.",United States,Product As A Service,7. Other (eg. treasury),2019,Nascent,"30,930,000",Series A,100
Rapyd,rapyd.net,"Rapyd does for fintech what the cloud did for IT. The company builds the technology that removes the back-end complexities of cross-border commerce while providing local payments expertise. Global e-commerce companies, technology firms, marketplaces, and financial institutions use its fintech-as-a-service platforms—Collect, Disburse, Wallet, and Issuing—to embed localized fintech and payments capabilities into their applications in a simple way.",United Kingdom,Product As A Service,7. Other (eg. treasury),2016,Mature,"175,000,000",Series C,100
Trusona,trusona.com,Trusona offers a fully passwordless authentication technology platform that enables organizations to mitigate virtually all risk associated with compromised credential attacks by reducing their attack surface. The company’s UI enables users to log in to any platform on any device without usernames or passwords across all enterprise use cases.,United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2015,Emerging,"38,000,000",Series C,100
Cuvva,https://www.cuvva.com/,Cuvva offers hourly car insurance sold through a mobile app.,United Kingdom,Product As A Service,6. Insurance,2015,Emerging,"25,360,000",Series A,100
Narmi,narmi.com,Narmi is a financial technology firm that builds online banking and mobile banking applications for regional and community financial institutions in the United States.,United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2016,Nascent,"21,460,000",Series B,100
Unit,unit.co,"Unit builds a platform that lets third parties integrate banking services like payment cards, checking accounts, cash advances and money transfers into their own businesses by way of an API.",United States,General BaaS Platforms,9. Developer Platforms,2019,Nascent,"18,600,000",Seed,100
Pennylane,pennylane.tech,Pennylane is a platform that allows business managers to manage company's financial data in real-time.,France,Data Aggregators,11. Other Financial Data,2019,Nascent,"22,760,000",Series A,100
By Miles,https://www.bymiles.co.uk/,By Miles is a car insurance provider aimed at people who live in cities and use their car infrequently.,United Kingdom,Product As A Service,6. Insurance,2016,Nascent,"26,800,000",Series B,100
simplesurance,https://www.simplesurance.com/,"simplesurance is an eCommerce provider for product insurances, enabling customers to buy products online and purchase corresponding insurance coverage at the checkout. The company's solutions enable cross-selling of product insurances directly at the point of sale in eCommerce, and integrates into the checkout process of online shops to offer a one-click experience for customers.",Germany,Product As A Service,6. Insurance,2012,Mature,"87,510,000",Series D,100
IDnow,https://www.idnow.io/,IDnow provides advanced machine-learning technology for its Identity-as-a-Service platform that can verify in real time the identities of people from different countries.,Germany,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2014,Mature,"58,190,000",Series C,100
Fidel,https://www.fidel.uk/,"Fidel is a payments API platform for developers, providing tools to build personalized products on top of payment cards. By using Fidel’s APIs developers can avoid complex integrations with payment service providers and bring their products to market in a faster, more secure, and more scalable fashion.",United Kingdom,Product As A Service,4. Cards,2013,Nascent,"18,000,000",Series A,70
Leveris,leveris.com,Leveris has developed an end-to-end platform to allow financial institutions and fintech startups such as digital-only banks or challenger banks to run their services.,Ireland,General BaaS Platforms,9. Developer Platforms,2014,Emerging,"18,010,000",Series B,70
Metaco,https://www.metaco.com/,"Metaco is a blockchain and cryptocurrency specialist firm that integrates into a bank's core processes. Its flagship product SILO is a complete cryptocurrency wallet-management system for the financial sector, offering custody and the ability to process transactions protected by military-grade security.",Switzerland,Transaction Infrastructure,12. Crypto-as-a-service,2014,Nascent,"17,000,000",Series A,70
Sequent Software,sequent.com,"Sequent is a developer of digital issuance and mobile wallet platform-as-a-service that delivers secure mobile payments and value-added services to banks, payment processors, mobile operators, and access control providers. With Sequent, customers can extend digitized cards to trusted applications for an open ecosystem of partners and developers while maintaining the strictest requirements of highly secure, regulated industries.",United States,Product As A Service,7. Other (eg. treasury),2010,Emerging,"28,000,000",Series C,100
Veriff,veriff.com,"Veriff is an AI-driven global tech company building a visionary verification platform. Veriff technology makes sure that a person is who they claim to be. With the help of artificial intelligence, Veriff analyses thousands of technological and behavioral variables in seconds, verifying people from 190+ countries.",Estonia,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2015,Emerging,"23,320,000",Series B,100
ADDI,addi.com,"ADDI is a tech company focused on credit solutions which partners with e-commerce across Latin America, offering loans to customers who browse through their stores. The company offers a solution to customers that want to pay in installments, with more favorable conditions, and also allows a safe cash flow for online retailers by performing an AI risk analysis on each borrower.",Colombia,Product As A Service,1. Lending,2018,Nascent,"29,800,000",Series A,100
Alchemy,https://www.alchemyapi.io/,Alchemy is a developer platform that empowers companies to build scalable and reliable decentralized applications without the hassle of managing blockchain infrastructure in-house. Its mission is to provide developers with the fundamental building blocks they need to create the future of technology.,United States,General BaaS Platforms,9. Developer Platforms,2017,Nascent,"15,000,000",Series A,70
CognitiveScale,cognitivescale.com,"CognitieScale delivers industry-specific AI solutions for financial services, healthcare, and digital commerce markets that drive customer engagement and conversion, improve decision making, and empower employees. The solutions, built on CognitiveScale's Cortex augmented intelligence platform, emulate and extend human cognitive functions by pairing people with machines.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2013,Nascent,"41,000,000",Series B,100
